epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9101,3.42049,105.171,2.12792,0.0005,0.00625,1e-05,0,3.244,78.003,1.85175,0.000641975,0.000641975,0.000641975
2,30.2999,3.05134,18.0845,1.73112,0.00013,0.00625,0,0,3.05056,34.0284,1.65515,0.00130432,0.00130432,0.00130432
3,41.9913,3.05943,15.4019,1.64759,0.00026,0.0125,0,0,3.1637,1179.99,1.85795,0.00196227,0.00196227,0.00196227
4,53.5869,3.08111,9.56178,1.79371,0,0,0,0,3.74503,2088.24,4.13801,0.0019802,0.0019802,0.0019802
5,65.1633,3.27917,33.5393,1.83843,0.00089,0.03125,9e-05,3e-05,4.06562,8.76937,2.44521,0.0019736,0.0019736,0.0019736
6,76.8338,3.19452,6.01633,1.80356,0.00044,0.0125,2e-05,0,3.98533,8.00327,3.69884,0.001967,0.001967,0.001967
7,88.2194,3.01178,4.93968,1.7023,0.00077,0.0375,3e-05,0,3.74807,180.453,7.79347,0.0019604,0.0019604,0.0019604
8,99.6235,3.04069,4.13597,1.75809,0.06688,0.05,0.01542,0.00387,3.08954,4.59646,1.87592,0.0019538,0.0019538,0.0019538
9,111.273,3.01963,3.71644,1.7327,0.10937,0.1125,0.04294,0.02121,3.25171,4.73766,1.97234,0.0019472,0.0019472,0.0019472
10,122.846,2.83257,3.75764,1.64721,0.14629,0.06428,0.05637,0.01733,3.28853,3.89465,1.73171,0.0019406,0.0019406,0.0019406
11,134.361,2.6668,3.54924,1.56603,0.11439,0.08125,0.04942,0.02161,3.11157,4.52842,1.81494,0.001934,0.001934,0.001934
12,146.084,2.61115,3.11936,1.5325,0.42856,0.06875,0.06776,0.02225,3.19347,9.40699,1.75437,0.0019274,0.0019274,0.0019274
13,157.827,2.42531,2.92232,1.47857,0.00916,0.11875,0.00232,0.0007,3.14829,15.7082,1.80912,0.0019208,0.0019208,0.0019208
14,169.296,2.46038,2.67865,1.47214,0.42163,0.05625,0.05486,0.01745,3.3335,4.49834,1.92274,0.0019142,0.0019142,0.0019142
15,180.728,2.42848,2.72391,1.4999,0.23448,0.11875,0.06587,0.01868,3.24057,4.28001,2.02039,0.0019076,0.0019076,0.0019076
16,192.186,2.23598,2.49975,1.36269,0.22373,0.125,0.06003,0.01965,2.93843,3.73312,1.80854,0.001901,0.001901,0.001901
17,203.56,2.22749,2.39701,1.31716,0.18071,0.2,0.0863,0.02599,2.95843,3.30309,1.59831,0.0018944,0.0018944,0.0018944
18,215.151,2.16306,2.26009,1.38993,0.18075,0.23125,0.11043,0.02914,2.87385,3.20391,1.58204,0.0018878,0.0018878,0.0018878
19,226.72,2.12146,2.12681,1.42804,0.27914,0.11875,0.0821,0.02335,3.01517,3.46428,1.69188,0.0018812,0.0018812,0.0018812
20,238.203,2.08591,2.12623,1.34501,0.20353,0.15625,0.0682,0.01999,3.13055,3.9502,1.65949,0.0018746,0.0018746,0.0018746
21,249.573,2.02711,1.96476,1.28399,0.19005,0.18125,0.0708,0.0227,2.98838,4.00166,1.6888,0.001868,0.001868,0.001868
22,260.967,1.9614,1.9088,1.28788,0.25322,0.15625,0.07296,0.02548,2.8372,4.04718,1.65044,0.0018614,0.0018614,0.0018614
23,272.462,1.85993,1.83847,1.28945,0.3208,0.14375,0.08997,0.02794,2.84013,3.98601,1.64419,0.0018548,0.0018548,0.0018548
24,283.838,1.83546,1.76764,1.24841,0.21052,0.125,0.0654,0.02011,3.07646,4.16326,1.67237,0.0018482,0.0018482,0.0018482
25,295.339,1.79802,1.75555,1.21557,0.17222,0.1625,0.07577,0.02144,2.98067,4.00712,1.59068,0.0018416,0.0018416,0.0018416
26,306.777,1.75175,1.60739,1.21331,0.21991,0.16875,0.07864,0.02503,2.89403,3.9301,1.5567,0.001835,0.001835,0.001835
27,318.325,1.69533,1.53416,1.18558,0.16889,0.1375,0.06599,0.0169,3.04445,4.14694,1.61318,0.0018284,0.0018284,0.0018284
28,329.689,1.64662,1.42006,1.16715,0.21179,0.15,0.07204,0.01766,3.20339,4.30787,1.69048,0.0018218,0.0018218,0.0018218
29,341.107,1.64197,1.35749,1.14017,0.19935,0.125,0.05845,0.01738,3.16783,4.27369,1.69588,0.0018152,0.0018152,0.0018152
30,352.602,1.55663,1.32484,1.09146,0.23252,0.125,0.06978,0.01905,3.13959,4.21204,1.71379,0.0018086,0.0018086,0.0018086
31,363.974,1.55815,1.25741,1.10263,0.20596,0.15,0.05969,0.01399,3.34437,4.3167,1.80087,0.001802,0.001802,0.001802
32,375.477,1.50825,1.27086,1.13716,0.19673,0.13125,0.05429,0.01403,3.28586,4.2429,1.76694,0.0017954,0.0017954,0.0017954
33,386.991,1.48741,1.24723,1.13921,0.164,0.13125,0.05382,0.01618,3.23442,4.10693,1.68973,0.0017888,0.0017888,0.0017888
34,398.47,1.49605,1.24084,1.11266,0.23206,0.1,0.06481,0.02083,3.12553,4.19957,1.64398,0.0017822,0.0017822,0.0017822
35,409.84,1.46486,1.16815,1.06045,0.21643,0.125,0.07818,0.02441,3.10875,4.27264,1.64353,0.0017756,0.0017756,0.0017756
36,421.255,1.41384,1.10658,1.0455,0.22794,0.16875,0.08551,0.03003,3.02729,4.29991,1.64071,0.001769,0.001769,0.001769
37,432.892,1.40155,1.08238,1.06545,0.15161,0.11875,0.04369,0.01297,3.20389,4.69726,1.71504,0.0017624,0.0017624,0.0017624
38,444.283,1.39044,1.04633,1.07153,0.11656,0.1,0.02763,0.00834,3.133,4.55833,1.70987,0.0017558,0.0017558,0.0017558
39,455.779,1.28789,0.98769,1.03522,0.21924,0.09478,0.05035,0.01417,3.174,4.45102,1.72849,0.0017492,0.0017492,0.0017492
40,467.235,1.35391,0.9596,1.00841,0.09452,0.05,0.02161,0.00621,3.07593,4.84311,1.73523,0.0017426,0.0017426,0.0017426
41,478.733,1.18575,0.86802,0.97283,0.09305,0.075,0.01993,0.00601,3.13092,5.01308,1.74874,0.001736,0.001736,0.001736
42,490.113,1.19268,0.88303,1.00735,0.08055,0.0625,0.02021,0.00614,3.06859,4.93815,1.7405,0.0017294,0.0017294,0.0017294
43,501.612,1.20309,0.86845,0.98693,0.10121,0.09375,0.02942,0.00745,3.0403,4.73356,1.75165,0.0017228,0.0017228,0.0017228
44,513.105,1.10217,0.77912,0.94908,0.08421,0.05625,0.02323,0.00553,3.4236,5.00192,1.84465,0.0017162,0.0017162,0.0017162
45,524.495,1.11817,0.78975,0.97757,0.13846,0.06875,0.02724,0.00709,3.33147,4.97187,1.82505,0.0017096,0.0017096,0.0017096
46,535.999,1.20293,0.78062,0.95821,0.15691,0.08125,0.03182,0.0084,3.18191,4.78692,1.80137,0.001703,0.001703,0.001703
47,547.509,1.17319,0.78036,0.9698,0.14384,0.075,0.02432,0.00525,3.26399,4.89499,1.81094,0.0016964,0.0016964,0.0016964
48,558.99,1.11108,0.75496,0.95496,0.03743,0.2,0.01751,0.00441,3.18434,4.84878,1.792,0.0016898,0.0016898,0.0016898
49,570.377,1.07137,0.73758,0.93595,0.18076,0.125,0.0412,0.01204,3.09805,4.41457,1.76129,0.0016832,0.0016832,0.0016832
50,581.791,1.13754,0.74638,0.92557,0.15255,0.09375,0.03702,0.01204,3.10409,4.65018,1.80529,0.0016766,0.0016766,0.0016766
51,593.267,0.99975,0.71684,0.93796,0.23965,0.05625,0.03766,0.00914,3.07721,4.66649,1.83061,0.00167,0.00167,0.00167
52,604.649,0.98804,0.67686,0.91658,0.1444,0.1,0.03321,0.01024,3.19251,4.49008,1.79707,0.0016634,0.0016634,0.0016634
53,616.006,1.03053,0.66897,0.91394,0.19549,0.1,0.04302,0.01225,3.17684,4.72705,1.72296,0.0016568,0.0016568,0.0016568
54,627.499,0.98813,0.65737,0.91681,0.04354,0.20625,0.02892,0.00692,3.1442,5.10775,1.74907,0.0016502,0.0016502,0.0016502
55,638.873,0.94785,0.64657,0.87634,0.11566,0.0625,0.02541,0.00575,3.19269,5.17351,1.74105,0.0016436,0.0016436,0.0016436
56,650.386,1.01155,0.66837,0.93366,0.04034,0.20625,0.02021,0.00493,3.06502,5.08922,1.74461,0.001637,0.001637,0.001637
57,661.836,0.90912,0.59865,0.89666,0.04973,0.175,0.01569,0.00393,3.14403,5.43749,1.78855,0.0016304,0.0016304,0.0016304
58,673.335,0.88947,0.58574,0.87623,0.13858,0.09375,0.02578,0.00591,3.17058,5.41983,1.82117,0.0016238,0.0016238,0.0016238
59,684.723,0.8532,0.5717,0.8901,0.18685,0.1125,0.03553,0.00901,3.01043,5.15464,1.77784,0.0016172,0.0016172,0.0016172
60,696.132,0.84108,0.55266,0.88146,0.04882,0.18125,0.01801,0.00389,3.27709,5.60603,1.82193,0.0016106,0.0016106,0.0016106
61,707.614,0.83417,0.54893,0.88892,0.04899,0.18125,0.02022,0.00439,3.24206,5.57449,1.79987,0.001604,0.001604,0.001604
62,718.994,0.81714,0.52567,0.85765,0.16772,0.1,0.02889,0.00659,3.08846,5.4113,1.80035,0.0015974,0.0015974,0.0015974
63,730.497,0.82088,0.54603,0.88613,0.13274,0.05625,0.0193,0.00535,3.20779,5.61871,1.8309,0.0015908,0.0015908,0.0015908
64,741.968,0.77069,0.52068,0.87329,0.12276,0.05,0.01808,0.00611,3.09664,5.59772,1.80845,0.0015842,0.0015842,0.0015842
65,753.479,0.85404,0.56475,0.8665,0.13806,0.06875,0.02395,0.00599,3.16369,5.52962,1.83867,0.0015776,0.0015776,0.0015776
66,764.84,0.80036,0.516,0.874,0.16795,0.07824,0.02496,0.00635,3.21957,5.46232,1.83528,0.001571,0.001571,0.001571
67,776.284,0.76027,0.49306,0.85023,0.14044,0.06538,0.02085,0.0061,3.2137,5.49475,1.83392,0.0015644,0.0015644,0.0015644
68,787.773,0.77613,0.50427,0.8613,0.14306,0.075,0.01757,0.00477,3.24423,5.4855,1.83964,0.0015578,0.0015578,0.0015578
69,799.158,0.76248,0.49314,0.86397,0.10312,0.075,0.01779,0.00597,3.27907,5.4913,1.84321,0.0015512,0.0015512,0.0015512
70,810.676,0.7064,0.46129,0.85243,0.08395,0.08125,0.01697,0.00692,3.24433,5.40598,1.83496,0.0015446,0.0015446,0.0015446
71,822.141,0.6668,0.43385,0.8336,0.12427,0.05588,0.01977,0.00654,3.35703,5.37612,1.9189,0.001538,0.001538,0.001538
72,833.626,0.70507,0.44115,0.83918,0.11185,0.05625,0.01561,0.00577,3.31399,5.63033,1.89668,0.0015314,0.0015314,0.0015314
73,845.021,0.68973,0.43977,0.83724,0.0892,0.05625,0.01409,0.00522,3.19794,5.69047,1.85173,0.0015248,0.0015248,0.0015248
74,856.437,0.68139,0.44031,0.82988,0.04911,0.1375,0.01675,0.00638,3.22945,5.58322,1.8112,0.0015182,0.0015182,0.0015182
75,867.943,0.62432,0.42274,0.84412,0.05284,0.16875,0.01731,0.00708,3.16013,5.59786,1.82354,0.0015116,0.0015116,0.0015116
76,879.318,0.61999,0.40968,0.82673,0.08258,0.05625,0.01172,0.00427,3.24763,5.97068,1.82148,0.001505,0.001505,0.001505
77,890.665,0.64293,0.40371,0.82693,0.03929,0.125,0.01211,0.0041,3.22629,5.74406,1.84261,0.0014984,0.0014984,0.0014984
78,902.142,0.64466,0.421,0.8299,0.15696,0.05625,0.01533,0.00475,3.16761,5.72536,1.84392,0.0014918,0.0014918,0.0014918
79,913.533,0.63956,0.41597,0.82326,0.15166,0.05625,0.01658,0.00471,3.26943,5.7982,1.8505,0.0014852,0.0014852,0.0014852
80,925.033,0.61622,0.42041,0.83059,0.12309,0.05,0.01589,0.00426,3.2188,5.72771,1.84033,0.0014786,0.0014786,0.0014786
81,936.499,0.62154,0.41001,0.83308,0.04175,0.1375,0.01508,0.00476,3.23879,5.63493,1.83246,0.001472,0.001472,0.001472
82,948.082,0.59857,0.40717,0.83535,0.03596,0.1,0.01229,0.00478,3.11328,5.82126,1.81833,0.0014654,0.0014654,0.0014654
83,959.452,0.57194,0.37521,0.81625,0.03628,0.1,0.01075,0.00336,3.15152,5.80534,1.80307,0.0014588,0.0014588,0.0014588
84,970.869,0.58893,0.38498,0.82759,0.04396,0.125,0.01445,0.00373,3.21893,5.64774,1.7842,0.0014522,0.0014522,0.0014522
85,982.367,0.5748,0.37988,0.81862,0.12014,0.0375,0.0109,0.00358,3.30165,5.75569,1.81925,0.0014456,0.0014456,0.0014456
86,993.82,0.61419,0.39837,0.80636,0.13906,0.0375,0.01056,0.00335,3.29445,5.81552,1.82992,0.001439,0.001439,0.001439
87,1005.24,0.55903,0.36771,0.80542,0.14131,0.05351,0.01847,0.00422,3.17859,5.51263,1.81756,0.0014324,0.0014324,0.0014324
88,1016.72,0.55944,0.36891,0.80636,0.10204,0.0625,0.0177,0.0048,3.17213,5.36775,1.82006,0.0014258,0.0014258,0.0014258
89,1028.1,0.52418,0.36371,0.80407,0.12607,0.0375,0.01662,0.00418,3.23238,5.64551,1.79659,0.0014192,0.0014192,0.0014192
90,1039.61,0.55586,0.35729,0.80675,0.13206,0.04375,0.01819,0.00476,3.19367,5.61401,1.81101,0.0014126,0.0014126,0.0014126
91,1051.08,0.52383,0.35314,0.80614,0.13165,0.05,0.01817,0.00514,3.211,5.42166,1.83184,0.001406,0.001406,0.001406
92,1062.56,0.49609,0.33502,0.80184,0.18421,0.06875,0.02311,0.00544,3.16215,5.41756,1.7771,0.0013994,0.0013994,0.0013994
93,1074.07,0.48167,0.33181,0.79317,0.16519,0.05,0.01927,0.00455,3.13536,5.60887,1.77886,0.0013928,0.0013928,0.0013928
94,1085.49,0.50451,0.33283,0.80205,0.04984,0.1,0.01361,0.00353,3.18255,5.86892,1.79828,0.0013862,0.0013862,0.0013862
95,1096.97,0.48971,0.32715,0.80654,0.04362,0.08125,0.01173,0.00341,3.14908,6.22117,1.82934,0.0013796,0.0013796,0.0013796
96,1108.35,0.47194,0.31711,0.80575,0.04013,0.075,0.01094,0.00311,3.15072,6.26616,1.84045,0.001373,0.001373,0.001373
