epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.783,3.44712,70.2909,2.03499,0.00056,0.01604,1e-05,0,3.46253,399.872,1.93555,0.000641975,0.000641975,0.000641975
2,30.1483,3.14204,22.0666,1.73906,0.00077,0.03209,3e-05,0,3.30166,439.955,1.88377,0.00130432,0.00130432,0.00130432
3,41.7853,3.05805,19.2754,1.70368,0.00052,0.02139,1e-05,0,3.26397,1016.64,1.87497,0.00196227,0.00196227,0.00196227
4,53.4666,2.98041,14.1137,1.64494,0.00067,0.02674,2e-05,0,3.34038,1001.13,2.84817,0.0019802,0.0019802,0.0019802
5,65.094,3.1719,8.00195,1.69963,0.00179,0.07487,0.00015,3e-05,3.07663,79.3819,1.93686,0.0019736,0.0019736,0.0019736
6,76.6932,3.00026,5.89877,1.64396,0.04685,0.07487,0.0075,0.00243,3.02526,5.40296,1.73479,0.001967,0.001967,0.001967
7,88.2934,2.92659,4.86976,1.63859,0.00244,0.1016,0.00026,6e-05,3.40691,12.1153,2.19633,0.0019604,0.0019604,0.0019604
8,99.7739,2.80734,4.01072,1.58319,0.00051,0.02139,1e-05,0,3.71073,583.649,3.93911,0.0019538,0.0019538,0.0019538
9,111.279,2.65792,4.03469,1.43976,0.00259,0.10695,0.00028,9e-05,3.51244,32.224,2.71657,0.0019472,0.0019472,0.0019472
10,122.662,2.56977,3.75579,1.44886,0.04005,0.06417,0.00549,0.00137,3.20314,4.38562,2.19826,0.0019406,0.0019406,0.0019406
11,134.059,2.61794,3.98539,1.49499,0.08286,0.04813,0.00976,0.00254,3.37723,4.70149,2.22216,0.001934,0.001934,0.001934
12,145.723,2.55364,3.55765,1.48158,0.06273,0.07487,0.01691,0.00573,3.03666,4.27068,1.8639,0.0019274,0.0019274,0.0019274
13,157.341,2.47999,3.29527,1.44396,0.0634,0.05348,0.01845,0.00777,3.2495,4.21824,1.91153,0.0019208,0.0019208,0.0019208
14,168.935,2.61872,3.24366,1.3593,0.06395,0.04278,0.01347,0.00482,3.18782,4.06291,1.78205,0.0019142,0.0019142,0.0019142
15,180.419,2.4518,3.89188,1.36754,0.04231,0.08021,0.01348,0.00447,3.24797,7.00014,1.81413,0.0019076,0.0019076,0.0019076
16,191.952,2.38662,3.06379,1.41467,0.06953,0.06417,0.01128,0.00391,3.33066,5.59717,1.89134,0.001901,0.001901,0.001901
17,203.378,2.36713,2.8812,1.37028,0.0649,0.03209,0.00904,0.00268,3.11791,5.09386,1.78651,0.0018944,0.0018944,0.0018944
18,214.795,2.22912,2.61822,1.2936,0.04575,0.07487,0.01593,0.00404,3.29566,4.35373,1.83953,0.0018878,0.0018878,0.0018878
19,226.3,2.20528,2.43891,1.33877,0.05664,0.01604,0.00679,0.00177,3.33466,5.54304,1.93965,0.0018812,0.0018812,0.0018812
20,237.703,2.0911,2.21522,1.25814,0.0088,0.08556,0.00167,0.00052,3.23231,10.1874,1.91439,0.0018746,0.0018746,0.0018746
21,249.344,2.10638,2.08319,1.27313,0.04218,0.06417,0.00867,0.00236,3.21039,5.04321,1.91346,0.001868,0.001868,0.001868
22,260.832,2.00325,2.0452,1.19205,0.04903,0.02674,0.00582,0.00211,3.19676,5.16088,1.93959,0.0018614,0.0018614,0.0018614
23,272.334,1.94228,1.91929,1.20892,0.04717,0.06417,0.0085,0.00287,3.28087,4.0463,1.91675,0.0018548,0.0018548,0.0018548
24,283.744,1.94522,1.74011,1.21773,0.00484,0.08556,0.00072,0.00023,3.39782,13.7012,1.99829,0.0018482,0.0018482,0.0018482
25,295.179,1.83858,1.5814,1.14985,0.06272,0.04813,0.01288,0.00463,3.35654,4.91431,1.9879,0.0018416,0.0018416,0.0018416
26,306.67,1.8963,1.65081,1.15363,0.03356,0.04278,0.0059,0.00187,3.3274,4.17355,1.97593,0.001835,0.001835,0.001835
27,318.147,1.78459,1.48837,1.12599,0.07519,0.04813,0.01469,0.00657,3.14486,4.57066,1.81834,0.0018284,0.0018284,0.0018284
28,329.663,1.68272,1.40704,1.11425,0.05426,0.05882,0.01549,0.00766,3.20309,4.52262,1.88308,0.0018218,0.0018218,0.0018218
29,341.137,1.58998,1.32986,1.10173,0.07627,0.07487,0.01212,0.00351,3.13361,4.46648,1.82901,0.0018152,0.0018152,0.0018152
30,352.734,1.52739,1.24297,1.06271,0.067,0.08556,0.01363,0.00344,3.13427,4.53457,1.84613,0.0018086,0.0018086,0.0018086
31,364.262,1.46054,1.17179,1.05254,0.06064,0.05882,0.00946,0.00237,3.07786,4.70724,1.84315,0.001802,0.001802,0.001802
32,375.692,1.43313,1.0961,1.02979,0.04366,0.05882,0.00734,0.00198,3.06484,4.80923,1.84171,0.0017954,0.0017954,0.0017954
33,387.214,1.46531,1.07952,1.05192,0.05959,0.06417,0.00903,0.00213,3.1643,4.82914,1.86674,0.0017888,0.0017888,0.0017888
34,398.622,1.36317,1.00396,1.02742,0.05512,0.05882,0.01435,0.00338,3.15682,4.80939,1.82687,0.0017822,0.0017822,0.0017822
35,410.149,1.29599,0.99087,0.9756,0.09247,0.04278,0.01242,0.00309,3.16741,4.95089,1.85437,0.0017756,0.0017756,0.0017756
36,421.627,1.24993,0.92057,0.92907,0.07778,0.03209,0.0107,0.00242,3.20375,5.14397,1.91761,0.001769,0.001769,0.001769
37,433.138,1.22836,0.87756,0.96848,0.0583,0.05348,0.01162,0.00262,3.16488,5.29356,1.88044,0.0017624,0.0017624,0.0017624
38,444.548,1.24271,0.91949,0.98127,0.05156,0.04278,0.00771,0.00243,3.15104,5.28052,1.88458,0.0017558,0.0017558,0.0017558
39,455.979,1.16811,0.85956,0.95071,0.02835,0.08021,0.00593,0.00184,3.07625,5.14782,1.8177,0.0017492,0.0017492,0.0017492
40,467.485,1.12603,0.80729,0.95063,0.0519,0.04391,0.00741,0.00181,3.16863,5.42154,1.84729,0.0017426,0.0017426,0.0017426
41,478.898,1.10714,0.73915,0.91947,0.07308,0.03743,0.0077,0.00239,3.19321,5.3349,1.86065,0.001736,0.001736,0.001736
42,490.423,1.05754,0.72434,0.92971,0.07054,0.05348,0.01125,0.0027,3.16823,5.3403,1.82309,0.0017294,0.0017294,0.0017294
43,501.914,1.04011,0.69318,0.90802,0.05934,0.06417,0.01039,0.00261,3.05932,5.28306,1.80108,0.0017228,0.0017228,0.0017228
44,513.44,0.95534,0.65451,0.90855,0.06554,0.04278,0.01117,0.00263,3.17803,5.14371,1.85309,0.0017162,0.0017162,0.0017162
45,524.834,0.97819,0.64721,0.90382,0.06249,0.03209,0.01118,0.0025,3.18038,5.18135,1.84835,0.0017096,0.0017096,0.0017096
46,536.271,0.97009,0.62975,0.89759,0.05264,0.03209,0.00954,0.00226,3.14061,5.3105,1.89227,0.001703,0.001703,0.001703
47,547.83,0.9215,0.58578,0.88176,0.04509,0.02674,0.00722,0.00146,3.17968,5.38411,1.90645,0.0016964,0.0016964,0.0016964
48,559.244,0.89382,0.57751,0.87694,0.14924,0.02674,0.00997,0.00174,3.21775,5.36758,1.89297,0.0016898,0.0016898,0.0016898
49,570.786,0.89199,0.54589,0.86862,0.04802,0.02674,0.00725,0.00198,3.15716,5.34875,1.88681,0.0016832,0.0016832,0.0016832
50,582.292,0.85704,0.53525,0.88388,0.05668,0.05882,0.00923,0.00216,3.13353,5.56414,1.89736,0.0016766,0.0016766,0.0016766
51,593.804,0.84814,0.53269,0.87878,0.06262,0.03209,0.0096,0.00212,3.15779,5.67599,1.89079,0.00167,0.00167,0.00167
52,605.203,0.90875,0.53488,0.86066,0.07891,0.02674,0.005,0.0013,3.11922,5.73842,1.86963,0.0016634,0.0016634,0.0016634
53,616.629,0.86034,0.52867,0.82981,0.06923,0.03209,0.00654,0.00113,3.25422,5.52528,1.91929,0.0016568,0.0016568,0.0016568
