epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8416,3.6782,97.951,2.29088,0.00197,0.00535,4e-05,1e-05,3.81916,143.568,2.14326,0.000641975,0.000641975,0.000641975
2,30.1499,3.3023,35.3964,1.93744,0.06323,0.02674,0.00373,0.001,3.23698,30.2617,1.93918,0.00130432,0.00130432,0.00130432
3,41.7464,2.93023,18.6751,1.72594,0.10832,0.02674,0.00698,0.00343,3.10862,15.0622,1.84332,0.00196227,0.00196227,0.00196227
4,53.458,3.03965,15.5273,1.72638,0,0,0,0,3.96436,1021.19,3.21118,0.0019802,0.0019802,0.0019802
5,64.9555,3.4641,11.1623,2.03954,0.00013,0.00535,0,0,3.85389,10.3224,2.17749,0.0019736,0.0019736,0.0019736
6,76.3072,3.41324,8.70657,1.89393,0,0,0,0,4.03066,7.80073,2.63381,0.001967,0.001967,0.001967
7,87.695,3.14263,5.40248,1.77444,0.00042,0.01604,1e-05,0,3.86653,548.287,5.26642,0.0019604,0.0019604,0.0019604
8,99.1529,3.03145,4.5743,1.77789,0.00014,0.00535,0,0,3.46076,407.298,3.44928,0.0019538,0.0019538,0.0019538
9,110.507,2.95159,4.91021,1.65641,0,0,0,0,3.22677,412.612,3.47623,0.0019472,0.0019472,0.0019472
10,121.996,2.8091,4.18585,1.58344,0.00125,0.03743,0.00021,0.00011,3.82314,6.16484,3.26153,0.0019406,0.0019406,0.0019406
11,133.427,2.72827,3.87822,1.57194,0.06875,0.02674,0.01413,0.00467,3.72519,5.81165,7.03928,0.001934,0.001934,0.001934
12,145.065,2.71378,3.38492,1.59004,0.06257,0.06952,0.013,0.00384,3.21632,7.41684,1.93914,0.0019274,0.0019274,0.0019274
13,156.42,2.52253,3.19481,1.5533,0.05231,0.03743,0.01518,0.00688,3.37733,5.95983,2.19177,0.0019208,0.0019208,0.0019208
14,167.97,2.57774,3.18005,1.44997,0.0611,0.05882,0.0107,0.00366,3.53473,5.27631,2.31568,0.0019142,0.0019142,0.0019142
15,179.438,2.51227,2.96323,1.47537,0.04051,0.07487,0.00541,0.00168,3.80567,22.8891,2.51894,0.0019076,0.0019076,0.0019076
16,190.798,2.40873,2.93367,1.45467,0.04397,0.04813,0.00651,0.00196,3.85613,5.38676,2.46434,0.001901,0.001901,0.001901
17,202.125,2.53845,2.83147,1.49517,0.03801,0.09626,0.01237,0.00442,3.44667,4.2075,2.38765,0.0018944,0.0018944,0.0018944
18,213.599,2.39905,2.66912,1.4376,0.05075,0.05033,0.0135,0.00427,3.0537,3.97392,1.80393,0.0018878,0.0018878,0.0018878
19,224.98,2.3823,2.58521,1.49991,0.05985,0.09626,0.01852,0.00577,2.94998,4.04192,1.73004,0.0018812,0.0018812,0.0018812
20,236.478,2.29263,2.39819,1.40616,0.0509,0.08556,0.01629,0.00498,2.89725,3.86223,1.72414,0.0018746,0.0018746,0.0018746
21,247.924,2.25959,2.28464,1.44362,0.0756,0.11765,0.01899,0.00566,2.87962,3.89764,1.77575,0.001868,0.001868,0.001868
22,259.419,2.1306,2.15564,1.33075,0.05059,0.09091,0.01571,0.0043,2.8503,3.92369,1.75296,0.0018614,0.0018614,0.0018614
23,270.79,2.08036,2.12148,1.3138,0.05913,0.15508,0.01757,0.00492,2.84252,4.06948,1.7084,0.0018548,0.0018548,0.0018548
24,282.188,2.10034,2.06732,1.33185,0.1011,0.08021,0.03916,0.01573,2.80778,4.07925,1.72214,0.0018482,0.0018482,0.0018482
25,293.829,2.03078,1.87751,1.24698,0.07989,0.1016,0.03237,0.00894,2.99102,4.19382,1.75924,0.0018416,0.0018416,0.0018416
26,305.195,2.03565,1.82869,1.25835,0.10706,0.06952,0.02517,0.00637,3.03974,4.12703,1.7625,0.001835,0.001835,0.001835
27,316.753,1.93121,1.74578,1.25165,0.13337,0.08556,0.034,0.01222,2.97061,3.75145,1.69178,0.0018284,0.0018284,0.0018284
28,328.212,1.90114,1.67977,1.26309,0.14074,0.10695,0.04243,0.01131,2.99799,3.8334,1.70659,0.0018218,0.0018218,0.0018218
29,339.684,1.82131,1.6628,1.23014,0.10486,0.11765,0.03574,0.00989,3.03745,3.93103,1.72598,0.0018152,0.0018152,0.0018152
30,351.062,1.86619,1.61357,1.23093,0.1064,0.06417,0.02144,0.00553,3.1748,4.01671,1.83286,0.0018086,0.0018086,0.0018086
31,362.455,1.80401,1.52738,1.19885,0.06942,0.06417,0.01515,0.0045,3.12157,4.09668,1.80165,0.001802,0.001802,0.001802
32,373.926,1.72618,1.42935,1.15519,0.05559,0.06952,0.01335,0.00365,3.1328,3.92862,1.77354,0.0017954,0.0017954,0.0017954
33,385.316,1.75979,1.39894,1.18984,0.11032,0.09091,0.02484,0.00658,3.07095,3.90742,1.71749,0.0017888,0.0017888,0.0017888
34,396.848,1.65594,1.36178,1.1828,0.13175,0.1123,0.03811,0.01178,3.00723,3.98153,1.7043,0.0017822,0.0017822,0.0017822
35,408.283,1.56623,1.27313,1.11315,0.13269,0.08556,0.03114,0.00961,3.06161,4.3624,1.70675,0.0017756,0.0017756,0.0017756
36,419.788,1.53398,1.22372,1.06199,0.11512,0.06417,0.01988,0.00546,3.18719,4.48744,1.75754,0.001769,0.001769,0.001769
37,431.176,1.51649,1.23424,1.11731,0.10889,0.08021,0.02948,0.0094,3.185,4.30933,1.73308,0.0017624,0.0017624,0.0017624
38,442.587,1.50268,1.30698,1.12523,0.15156,0.09091,0.02701,0.00683,3.14194,4.31239,1.76483,0.0017558,0.0017558,0.0017558
39,454.081,1.46477,1.13225,1.08096,0.10124,0.08021,0.03119,0.00945,3.07154,4.30021,1.73625,0.0017492,0.0017492,0.0017492
40,465.468,1.43171,1.11958,1.09429,0.09676,0.07487,0.02825,0.00818,3.11122,4.42807,1.73747,0.0017426,0.0017426,0.0017426
41,476.966,1.37127,1.07394,1.02597,0.11861,0.08556,0.02877,0.0081,3.20201,4.37938,1.79331,0.001736,0.001736,0.001736
42,488.427,1.36546,1.02264,1.05093,0.11277,0.08972,0.02678,0.00804,3.14237,4.25501,1.80331,0.0017294,0.0017294,0.0017294
43,499.925,1.32715,0.98836,1.03672,0.0815,0.04813,0.01255,0.00322,2.99428,4.51696,1.7481,0.0017228,0.0017228,0.0017228
44,511.295,1.2165,0.91853,1.02327,0.09545,0.09626,0.02888,0.01012,3.00375,4.54973,1.74695,0.0017162,0.0017162,0.0017162
45,522.707,1.25155,0.89803,1.01173,0.09582,0.11765,0.03043,0.01001,3.05515,4.40583,1.74094,0.0017096,0.0017096,0.0017096
46,534.22,1.23069,0.89106,1.00552,0.08969,0.06952,0.02138,0.00614,3.12897,4.47469,1.79403,0.001703,0.001703,0.001703
47,545.659,1.2092,0.8487,0.99288,0.12424,0.09028,0.03119,0.00622,3.04853,4.44335,1.73994,0.0016964,0.0016964,0.0016964
48,557.17,1.18618,0.83209,0.99554,0.13528,0.07487,0.0341,0.00821,3.11284,4.52442,1.76949,0.0016898,0.0016898,0.0016898
49,568.618,1.16255,0.80383,0.98817,0.08053,0.12299,0.0286,0.00785,3.06936,4.62861,1.79199,0.0016832,0.0016832,0.0016832
50,580.107,1.11061,0.78309,1.00175,0.06633,0.11765,0.0283,0.00576,3.05528,4.53698,1.74698,0.0016766,0.0016766,0.0016766
51,591.498,1.0903,0.7678,0.98274,0.12429,0.05882,0.02432,0.00643,3.08748,4.60914,1.76758,0.00167,0.00167,0.00167
52,602.9,1.08856,0.73279,0.94872,0.24733,0.06952,0.03899,0.01154,3.1538,4.51107,1.80034,0.0016634,0.0016634,0.0016634
53,614.37,1.04124,0.7382,0.91782,0.17299,0.07487,0.02897,0.00862,3.15197,4.48235,1.76915,0.0016568,0.0016568,0.0016568
54,625.751,1.03887,0.72065,0.96928,0.12247,0.06417,0.02341,0.00788,3.12399,4.46857,1.73602,0.0016502,0.0016502,0.0016502
55,637.258,1.09046,0.70828,0.95066,0.09817,0.05348,0.0176,0.00549,3.15136,4.66119,1.7365,0.0016436,0.0016436,0.0016436
56,648.718,1.20434,0.75608,0.985,0.06091,0.04813,0.0105,0.00222,3.1789,4.88322,1.74937,0.001637,0.001637,0.001637
57,660.229,1.12494,0.71716,0.96969,0.0686,0.06417,0.01586,0.00362,3.19684,4.95699,1.73299,0.0016304,0.0016304,0.0016304
