epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8425,3.91572,129.026,2.44448,0.00016,0.00535,0,0,3.52251,258.094,2.21909,0.000641975,0.000641975,0.000641975
2,30.1025,3.28128,34.2517,2.00328,0.00338,0.1016,0.00039,0.00011,3.11965,1400.98,1.96269,0.00130432,0.00130432,0.00130432
3,41.7941,3.24237,26.7702,2.04854,0.00013,0.00535,0,0,3.30652,317.485,2.03018,0.00196227,0.00196227,0.00196227
4,53.1687,3.11867,13.6198,1.84138,0.00013,0.00535,0,0,3.56474,2319.16,2.43187,0.0019802,0.0019802,0.0019802
5,64.676,3.26875,9.97412,1.92667,0.04635,0.04278,0.00653,0.0015,3.47251,9.07579,1.88987,0.0019736,0.0019736,0.0019736
6,76.2293,3.15837,7.62319,1.89426,0.00176,0.06952,0.00019,6e-05,3.23913,4.94103,1.95829,0.001967,0.001967,0.001967
7,87.6921,3.21617,5.17656,1.88827,0.00163,0.02139,5e-05,1e-05,3.36661,12.2114,2.55421,0.0019604,0.0019604,0.0019604
8,99.1728,3.12358,4.445,1.9736,0.05707,0.02139,0.01105,0.00306,3.35038,5.77368,2.8024,0.0019538,0.0019538,0.0019538
9,110.712,3.06906,5.23583,1.85213,0.00295,0.12299,0.00063,0.0002,3.4524,6.02726,2.22799,0.0019472,0.0019472,0.0019472
10,122.241,3.0106,4.07206,1.81389,0.00295,0.12299,0.0019,0.00074,3.16712,7.10694,2.00366,0.0019406,0.0019406,0.0019406
11,133.605,3.0282,4.06461,1.84582,0.01901,0.01604,0.00158,0.00032,3.28806,4.9028,3.13132,0.001934,0.001934,0.001934
12,145.084,2.93775,3.75369,1.79695,0.01716,0.0107,0.00124,0.00034,3.27656,4.74145,2.65167,0.0019274,0.0019274,0.0019274
13,156.498,2.81334,3.72147,1.74136,0.02533,0.04813,0.00614,0.0022,3.26936,5.55922,3.41616,0.0019208,0.0019208,0.0019208
14,167.979,2.84567,3.62552,1.64748,0.03731,0.14439,0.01162,0.0039,3.0045,5.07391,1.61615,0.0019142,0.0019142,0.0019142
15,179.539,2.84028,3.70673,1.73959,0.16391,0.08021,0.04945,0.01862,2.96207,4.47849,1.737,0.0019076,0.0019076,0.0019076
16,191.062,2.77383,3.5066,1.69059,0.13995,0.09626,0.05241,0.01998,2.97059,4.27537,1.67861,0.001901,0.001901,0.001901
17,202.689,2.79647,3.61671,1.67279,0.0782,0.10695,0.01643,0.00534,3.00495,4.23476,1.75305,0.0018944,0.0018944,0.0018944
18,214.064,2.71183,3.36809,1.65254,0.02192,0.16043,0.00687,0.00213,2.9559,8.61877,1.76178,0.0018878,0.0018878,0.0018878
19,225.549,2.80732,3.57911,1.74253,0.01656,0.17647,0.00538,0.00169,2.87531,7.824,1.68974,0.0018812,0.0018812,0.0018812
20,236.991,2.72871,3.52823,1.63002,0.04609,0.18182,0.02895,0.01011,2.97141,3.77469,1.74874,0.0018746,0.0018746,0.0018746
21,248.477,2.72951,3.42256,1.74211,0.06884,0.13369,0.02812,0.0083,3.05664,3.68579,1.76466,0.001868,0.001868,0.001868
22,259.946,2.79085,3.55513,1.6776,0.07135,0.16043,0.02885,0.00826,2.91533,3.91027,1.66732,0.0018614,0.0018614,0.0018614
