epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3902,3.90073,123.773,2.35156,0.00106,0.00338,1e-05,0,4.0241,247.973,2.57733,0.000641026,0.000641026,0.000641026
2,26.4849,3.4054,33.2578,1.89456,0.00261,0.06419,0.00017,4e-05,3.6864,449.947,2.373,0.00130338,0.00130338,0.00130338
3,38.4526,3.2373,18.2846,1.85417,0,0,0,0,3.85728,234.34,2.40614,0.00196133,0.00196133,0.00196133
4,50.1508,3.44552,13.5949,1.99901,0,0,0,0,4.71475,251376,351.822,0.0019802,0.0019802,0.0019802
5,61.4513,3.67802,8.48706,1.98804,0.00014,0.00338,2e-05,0,4.00185,32081,13.2968,0.0019736,0.0019736,0.0019736
6,72.6834,3.47999,6.03222,1.97331,0.00295,0.0777,0.00042,0.00013,3.57802,4.24903,2.04824,0.001967,0.001967,0.001967
7,84.0736,3.25991,5.30977,1.83957,0.00609,0.15203,0.00374,0.00147,3.50767,4.45528,2.54471,0.0019604,0.0019604,0.0019604
8,95.4899,3.19084,12.8763,1.85475,0.00077,0.02027,2e-05,0,4.14379,17220.2,12.6004,0.0019538,0.0019538,0.0019538
9,106.758,3.30188,4.5391,1.85931,0.00565,0.14865,0.00104,0.00025,3.48663,4.24917,1.97215,0.0019472,0.0019472,0.0019472
10,118.076,3.1028,4.21667,1.78449,0.00667,0.17568,0.0021,0.00053,3.24083,4.13678,1.89841,0.0019406,0.0019406,0.0019406
11,129.356,2.97855,4.28359,1.71827,0.01091,0.21959,0.00816,0.00235,3.34708,4.07813,2.01872,0.001934,0.001934,0.001934
12,140.824,2.92358,3.89035,1.76611,0.01634,0.32432,0.02347,0.00581,3.36711,3.83676,1.99125,0.0019274,0.0019274,0.0019274
13,152.206,2.84407,3.49666,1.68134,0.0129,0.21959,0.02224,0.00734,3.47878,4.77057,2.07988,0.0019208,0.0019208,0.0019208
14,163.613,2.8001,3.19148,1.66198,0.13784,0.09459,0.05474,0.01764,3.27772,3.65642,1.93383,0.0019142,0.0019142,0.0019142
15,175.008,2.71212,3.42427,1.59427,0.20833,0.08108,0.03893,0.0137,3.55388,4.13832,2.16017,0.0019076,0.0019076,0.0019076
16,186.3,2.66458,3.1638,1.61515,0.10318,0.15203,0.04523,0.01351,3.16128,3.43998,1.93619,0.001901,0.001901,0.001901
17,197.618,2.64092,3.20121,1.6289,0.14894,0.10135,0.0425,0.01197,3.13325,3.45633,1.83461,0.0018944,0.0018944,0.0018944
18,208.831,2.50075,2.98326,1.56363,0.1296,0.14527,0.05554,0.01461,3.08783,3.32516,1.79363,0.0018878,0.0018878,0.0018878
