epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7669,3.59412,113.294,2.31771,0.00057,0.025,2e-05,0,3.15263,156.955,1.90567,0.000641975,0.000641975,0.000641975
2,55.1177,3.30196,21.7796,1.96506,0.00919,0.15,0.00227,0.00066,3.00689,77.4608,1.91111,0.00130432,0.00130432,0.00130432
3,66.6974,3.24556,42.6081,1.9938,0.05346,0.28125,0.04798,0.01478,3.12374,45.6908,1.96998,0.00196227,0.00196227,0.00196227
4,78.2935,3.47761,16.2466,2.14699,0.00038,0.01875,1e-05,0,3.11314,8942.08,11.6464,0.0019802,0.0019802,0.0019802
5,89.7268,3.53987,7.16654,2.16757,0,0,0,0,3.31097,3736.31,1.83389,0.0019736,0.0019736,0.0019736
6,101.289,3.25998,5.3507,1.99571,0.00244,0.11875,0.00046,0.00013,3.30606,5.72666,1.95232,0.001967,0.001967,0.001967
7,112.72,3.30091,4.85926,1.95744,0.00304,0.14375,0.00048,0.00013,3.55928,23.3313,2.95328,0.0019604,0.0019604,0.0019604
8,124.155,3.13197,5.01091,1.93753,0.00477,0.23125,0.00127,0.00036,3.50328,94.8278,2.43259,0.0019538,0.0019538,0.0019538
9,135.715,3.11928,4.23574,1.9379,0.00853,0.3375,0.03548,0.01258,3.18941,3.91866,1.78487,0.0019472,0.0019472,0.0019472
10,147.087,3.03465,4.06323,1.87755,0.00849,0.31875,0.0191,0.00633,3.23114,4.2036,1.95352,0.0019406,0.0019406,0.0019406
11,158.563,2.98352,3.78174,1.79014,0.00658,0.26875,0.01762,0.00653,3.227,3.85633,1.94012,0.001934,0.001934,0.001934
12,170.03,2.93633,3.71454,1.74548,0.08821,0.13125,0.02486,0.00776,2.90504,3.63383,1.64917,0.0019274,0.0019274,0.0019274
13,181.52,2.8545,3.62628,1.75491,0.18869,0.14375,0.04903,0.0178,2.93593,3.61784,1.7117,0.0019208,0.0019208,0.0019208
14,193.098,2.84958,3.50297,1.77608,0.12573,0.1125,0.04048,0.0168,3.12531,4.05232,1.93066,0.0019142,0.0019142,0.0019142
15,204.523,2.82861,3.4727,1.77632,0.05585,0.15,0.0254,0.00885,3.22761,3.87821,2.06424,0.0019076,0.0019076,0.0019076
