epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6107,3.58317,103.506,2.27036,0,0,0,0,3.35478,296.878,1.85943,0.000641975,0.000641975,0.000641975
2,43.9488,3.28859,20.5544,1.95411,0.00038,0.01875,1e-05,0,3.45422,22.2096,1.94596,0.00130432,0.00130432,0.00130432
3,55.6552,3.30119,20.5889,1.97083,0.00106,0.0375,5e-05,1e-05,3.40661,14.4028,1.88999,0.00196227,0.00196227,0.00196227
4,67.2822,3.18615,11.6064,1.84838,0.00058,0.01875,1e-05,0,3.51163,15831.1,2.05239,0.0019802,0.0019802,0.0019802
5,78.9478,3.17789,8.34943,1.90839,0.00683,0.09375,0.0009,0.00027,3.40573,474.058,8.64281,0.0019736,0.0019736,0.0019736
6,90.6336,3.3498,6.71096,2.04685,0.00013,0.00625,0,0,3.50345,27466.8,13.0913,0.001967,0.001967,0.001967
7,102.206,3.21429,5.20767,1.91417,0.00052,0.0125,1e-05,0,3.9059,5.21988,2.48681,0.0019604,0.0019604,0.0019604
8,113.612,3.18169,4.65467,1.94023,0.00239,0.01875,0.00016,6e-05,3.81801,5.90989,3.87903,0.0019538,0.0019538,0.0019538
9,125.052,3.16668,4.3048,1.89442,0.00169,0.08125,0.00037,0.00012,3.52844,5.02953,2.19552,0.0019472,0.0019472,0.0019472
10,136.568,3.15524,4.31714,1.95973,0.00234,0.1125,0.00086,0.00024,3.32159,5.23846,1.87628,0.0019406,0.0019406,0.0019406
11,148.052,3.12927,4.49874,1.91486,0.00228,0.1,0.00052,0.0001,3.97499,8.75662,2.80676,0.001934,0.001934,0.001934
12,159.468,3.15658,4.16535,1.90935,0.0051,0.13125,0.00791,0.00297,3.55677,6.25205,2.63287,0.0019274,0.0019274,0.0019274
13,171.132,3.05443,4.12128,1.89622,0.00449,0.1875,0.02268,0.00529,3.43457,5.01385,2.32475,0.0019208,0.0019208,0.0019208
14,182.797,3.04918,4.05304,1.84322,0.00914,0.24375,0.03115,0.01245,3.26771,4.14134,2.00529,0.0019142,0.0019142,0.0019142
15,194.442,2.96409,3.78497,1.80877,0.11183,0.0875,0.03725,0.01449,3.08409,3.8788,1.76288,0.0019076,0.0019076,0.0019076
16,206.055,2.80437,3.76632,1.70494,0.11868,0.1,0.03636,0.01112,2.961,3.63866,1.68749,0.001901,0.001901,0.001901
17,217.577,2.91567,3.70843,1.69869,0.19704,0.08742,0.05114,0.01808,2.99626,3.55537,1.65015,0.0018944,0.0018944,0.0018944
18,229.198,2.84005,3.67846,1.74502,0.13957,0.14375,0.06589,0.02052,3.07104,3.43332,1.68722,0.0018878,0.0018878,0.0018878
19,240.797,2.83276,3.61271,1.78764,0.11731,0.10549,0.03162,0.00977,3.12726,3.59636,1.72903,0.0018812,0.0018812,0.0018812
20,252.346,2.8587,3.66154,1.71472,0.11168,0.16815,0.05217,0.01697,3.13034,3.39308,1.73799,0.0018746,0.0018746,0.0018746
21,263.76,2.72807,3.37791,1.68107,0.12228,0.125,0.04692,0.0161,3.09109,3.37894,1.68833,0.001868,0.001868,0.001868
22,275.308,2.73141,3.47604,1.69441,0.15248,0.1,0.04498,0.01285,3.08285,3.35926,1.6728,0.0018614,0.0018614,0.0018614
23,286.828,2.77623,3.48658,1.72834,0.13658,0.14375,0.04506,0.01638,3.16723,3.23857,1.70204,0.0018548,0.0018548,0.0018548
24,298.375,2.71192,3.43076,1.68912,0.10636,0.14951,0.03526,0.012,3.04968,3.64735,1.64496,0.0018482,0.0018482,0.0018482
25,309.858,2.67792,3.58839,1.64673,0.17182,0.0875,0.03581,0.01422,2.87546,3.38194,1.57263,0.0018416,0.0018416,0.0018416
26,321.312,2.60282,3.47087,1.66194,0.15268,0.10625,0.03752,0.01496,2.85289,3.34326,1.57491,0.001835,0.001835,0.001835
27,332.838,2.78737,3.6658,1.759,0.13703,0.125,0.04615,0.01719,2.88052,3.22891,1.6436,0.0018284,0.0018284,0.0018284
28,344.354,2.67515,3.49318,1.65359,0.01306,0.3375,0.03928,0.01406,2.96726,3.56308,1.64174,0.0018218,0.0018218,0.0018218
