epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.865,3.35013,101.285,2.09101,0.00013,0.00625,0,0,3.12838,87.0603,1.75554,0.000641975,0.000641975,0.000641975
2,30.2213,3.23498,26.9311,1.81055,0.00014,0.00625,0,0,3.15577,40640.8,1.80226,0.00130432,0.00130432,0.00130432
3,41.8124,3.17338,17.5746,1.74369,0.045,0.01875,0.00797,0.00521,3.29018,28.7713,1.84103,0.00196227,0.00196227,0.00196227
4,53.5879,3.17688,13.5767,1.82229,0.00044,0.00625,1e-05,0,3.36037,57.0413,1.84414,0.0019802,0.0019802,0.0019802
5,65.0098,3.3136,8.66944,1.84498,0.00109,0.00625,2e-05,1e-05,3.29594,19.8758,1.85746,0.0019736,0.0019736,0.0019736
6,76.5273,3.19581,5.55854,1.83,0.00407,0.0375,0.00083,0.00022,3.42342,65.4848,1.84785,0.001967,0.001967,0.001967
7,88.0265,3.00376,4.89009,1.6631,0.0004,0.01875,1e-05,0,3.69974,1134.81,3.31117,0.0019604,0.0019604,0.0019604
8,99.668,3.15651,5.51237,1.74463,0.00129,0.0625,9e-05,2e-05,3.63978,120.5,2.11947,0.0019538,0.0019538,0.0019538
9,111.108,2.99682,3.79376,1.67002,0.00141,0.00625,6e-05,2e-05,3.43418,11.2385,1.8809,0.0019472,0.0019472,0.0019472
10,122.576,2.81745,3.73876,1.62524,0.10169,0.06875,0.01216,0.00396,3.12382,4.02334,1.80156,0.0019406,0.0019406,0.0019406
11,134.061,2.70823,3.36724,1.57536,0.11548,0.10625,0.03251,0.0098,3.0768,3.58347,1.73057,0.001934,0.001934,0.001934
12,145.668,2.63179,3.06104,1.54954,0.01129,0.0875,0.00213,0.00073,3.18974,6.84412,1.82797,0.0019274,0.0019274,0.0019274
13,157.181,2.48788,3.13326,1.46756,0.00185,0.075,0.00017,5e-05,3.17023,212.028,1.95006,0.0019208,0.0019208,0.0019208
14,168.655,2.47235,2.91292,1.42891,0.21682,0.05625,0.0387,0.01341,3.14841,3.65671,1.80319,0.0019142,0.0019142,0.0019142
15,180.329,2.39371,2.78347,1.43535,0.06815,0.04375,0.02997,0.00939,3.1383,3.94854,1.7865,0.0019076,0.0019076,0.0019076
16,191.71,2.18606,2.62149,1.32482,0.09199,0.04375,0.02598,0.00999,3.25973,3.88392,1.85002,0.001901,0.001901,0.001901
