epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6034,4.0214,122.256,2.46848,0.00013,0.00741,0,0,3.85707,302.35,2.63572,0.000641026,0.000641026,0.000641026
2,26.6783,3.75751,44.5611,2.08772,0.00014,0.00741,0,0,3.8557,174.925,2.18644,0.00130338,0.00130338,0.00130338
3,38.171,3.51212,30.5992,1.95792,0,0,0,0,3.74092,38.4853,2.16721,0.00196133,0.00196133,0.00196133
4,49.596,3.5562,19.3327,1.98773,0,0,0,0,3.90503,2549.42,2.14579,0.0019802,0.0019802,0.0019802
5,61.0128,3.58892,14.1266,1.98883,0,0,0,0,4.3045,84165.9,12.0288,0.0019736,0.0019736,0.0019736
6,72.4284,3.52224,8.47217,1.97422,0.00053,0.02963,0.00026,8e-05,3.83963,8.12876,2.52261,0.001967,0.001967,0.001967
7,83.8535,3.29288,5.39915,1.79996,0.12573,0.02222,0.01688,0.00224,3.82248,8.04305,2.4491,0.0019604,0.0019604,0.0019604
8,95.2736,3.26208,4.91855,1.83861,0.0045,0.02963,0.00173,0.0006,3.47932,6.13153,2.07076,0.0019538,0.0019538,0.0019538
9,106.513,3.07425,4.16319,1.77316,0.08142,0.04444,0.01827,0.00567,3.54534,5.68992,2.08117,0.0019472,0.0019472,0.0019472
10,117.903,3.15359,4.0653,1.72865,0.10411,0.14815,0.04774,0.01507,3.31084,5.04829,1.88477,0.0019406,0.0019406,0.0019406
11,129.303,3.12301,4.07545,1.74723,0.00678,0.28148,0.00586,0.00165,3.27492,4.19717,1.92689,0.001934,0.001934,0.001934
12,140.477,2.95196,3.95981,1.76896,0.03138,0.26667,0.02029,0.00534,3.3379,4.11607,1.86578,0.0019274,0.0019274,0.0019274
13,151.678,2.99224,3.60282,1.65025,0.06809,0.12593,0.02292,0.00766,3.12449,3.70504,1.66331,0.0019208,0.0019208,0.0019208
14,162.888,2.79867,3.4103,1.60472,0.07037,0.11852,0.02525,0.0084,3.12421,3.75746,1.69872,0.0019142,0.0019142,0.0019142
15,174.037,2.81523,3.40273,1.64735,0.07105,0.14815,0.0229,0.00621,3.3829,4.03323,1.8675,0.0019076,0.0019076,0.0019076
16,185.224,2.7289,3.38293,1.62336,0.09279,0.14074,0.02684,0.00836,3.27457,3.68927,1.79856,0.001901,0.001901,0.001901
17,196.441,2.87865,3.50206,1.65102,0.09329,0.17778,0.03665,0.01407,3.31276,3.7633,1.82105,0.0018944,0.0018944,0.0018944
18,207.641,2.71627,3.30393,1.59232,0.09188,0.16296,0.04029,0.01354,3.27505,3.70245,1.86258,0.0018878,0.0018878,0.0018878
19,218.861,2.75354,3.4555,1.58285,0.06289,0.13473,0.02954,0.00799,3.20583,3.58077,1.75939,0.0018812,0.0018812,0.0018812
20,230.059,2.71437,3.34646,1.59161,0.10269,0.20741,0.05055,0.01621,3.00463,3.43921,1.66432,0.0018746,0.0018746,0.0018746
21,241.501,2.70982,3.64133,1.62843,0.13322,0.17778,0.06295,0.0209,2.95138,3.51074,1.66745,0.001868,0.001868,0.001868
22,252.935,2.78748,3.37145,1.66679,0.10888,0.14934,0.06138,0.01885,3.04067,3.37217,1.65075,0.0018614,0.0018614,0.0018614
23,264.139,2.66769,3.22644,1.57365,0.08615,0.21481,0.0558,0.01658,2.98831,3.45314,1.62705,0.0018548,0.0018548,0.0018548
24,275.36,2.69878,3.11579,1.52719,0.1324,0.19259,0.06261,0.01963,2.8734,3.32264,1.54012,0.0018482,0.0018482,0.0018482
25,286.585,2.58926,3.02337,1.52072,0.13383,0.19259,0.06398,0.02166,2.94311,3.2616,1.53182,0.0018416,0.0018416,0.0018416
26,298.038,2.62622,3.08298,1.61387,0.12346,0.22222,0.06275,0.02014,2.99113,3.29201,1.56432,0.001835,0.001835,0.001835
27,309.241,2.672,3.03765,1.59819,0.1139,0.16296,0.05714,0.0169,3.08493,3.22466,1.65443,0.0018284,0.0018284,0.0018284
28,320.447,2.58475,3.01781,1.5992,0.12258,0.17778,0.05454,0.01516,3.17897,3.23374,1.74581,0.0018218,0.0018218,0.0018218
29,331.638,2.69415,3.13412,1.53937,0.13069,0.15556,0.05439,0.01513,3.2002,3.22161,1.74473,0.0018152,0.0018152,0.0018152
30,342.94,2.58424,2.95352,1.52711,0.13498,0.22222,0.06274,0.02124,3.03591,3.19968,1.59074,0.0018086,0.0018086,0.0018086
31,354.169,2.67164,3.0262,1.51602,0.13174,0.18519,0.07399,0.02397,3.05817,3.1873,1.58919,0.001802,0.001802,0.001802
32,365.585,2.58583,2.87987,1.53082,0.14638,0.15556,0.07767,0.026,2.99926,3.09586,1.57484,0.0017954,0.0017954,0.0017954
33,377.045,2.56235,2.9634,1.51986,0.11905,0.22963,0.06638,0.02489,2.84741,3.05136,1.52262,0.0017888,0.0017888,0.0017888
34,388.289,2.50396,2.97157,1.53322,0.11331,0.23704,0.06381,0.02085,2.90627,3.1007,1.53663,0.0017822,0.0017822,0.0017822
35,399.514,2.5462,2.93516,1.46582,0.16464,0.21481,0.07731,0.02345,2.97928,3.2319,1.57924,0.0017756,0.0017756,0.0017756
36,410.764,2.47888,2.74684,1.52793,0.16974,0.24444,0.08917,0.02867,3.0259,3.19129,1.59993,0.001769,0.001769,0.001769
