epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4076,3.90939,95.8911,2.26336,0,0,0,0,3.50467,115.601,2.22659,0.000641026,0.000641026,0.000641026
2,26.5134,3.43961,31.7218,1.91146,0.0008,0.03704,3e-05,1e-05,3.5829,46.6134,2.00677,0.00130338,0.00130338,0.00130338
3,38.0991,3.2976,16.3684,1.82828,0.00531,0.11852,0.00097,0.00026,3.51934,839.748,1.91179,0.00196133,0.00196133,0.00196133
4,49.5409,3.34053,29.8078,1.90791,0.00192,0.11111,0.00025,7e-05,3.44397,6.87719,1.88717,0.0019802,0.0019802,0.0019802
5,60.8402,3.51871,8.45146,1.95976,0.00013,0.00741,0,0,3.37621,9.48092,1.78929,0.0019736,0.0019736,0.0019736
6,72.0281,3.44707,6.90606,1.87683,0.00013,0.00741,0,0,3.385,5.38681,1.90266,0.001967,0.001967,0.001967
7,83.2905,3.41331,5.4469,1.8503,0.00029,0.01481,0,0,3.44888,4.91383,1.95796,0.0019604,0.0019604,0.0019604
8,94.4747,3.35527,4.96912,1.87105,0.00051,0.00741,0,0,3.49728,4.67945,2.0222,0.0019538,0.0019538,0.0019538
9,105.74,3.17432,4.69654,1.84647,0.00802,0.24444,0.00828,0.00165,3.41159,4.42841,1.91161,0.0019472,0.0019472,0.0019472
10,117.21,3.21247,4.47643,1.75801,0.08374,0.07407,0.01323,0.00255,3.49395,4.25094,1.96459,0.0019406,0.0019406,0.0019406
11,128.612,3.21782,4.61163,1.80466,0.02996,0.17778,0.01274,0.00438,3.32352,4.56008,1.83694,0.001934,0.001934,0.001934
12,140.084,3.04977,4.38762,1.80814,0.09561,0.01185,0.02264,0.0056,3.48362,4.1282,1.94457,0.0019274,0.0019274,0.0019274
13,151.481,3.0218,3.94063,1.67111,0.14762,0.06667,0.02728,0.00845,3.45619,3.98981,2.02638,0.0019208,0.0019208,0.0019208
14,162.896,2.84156,3.68779,1.65061,0.12135,0.14815,0.02798,0.00727,3.30746,3.90854,1.86915,0.0019142,0.0019142,0.0019142
15,174.097,2.90491,3.74962,1.69566,0.10158,0.2,0.03283,0.00948,3.16357,3.75332,1.76213,0.0019076,0.0019076,0.0019076
16,185.478,2.87448,3.66027,1.65845,0.1464,0.08889,0.04998,0.0143,3.25712,3.79656,1.79805,0.001901,0.001901,0.001901
17,196.97,2.97472,3.78954,1.67169,0.15462,0.11111,0.04892,0.01157,3.24879,3.70062,1.76892,0.0018944,0.0018944,0.0018944
18,208.179,2.94322,3.70998,1.65292,0.10696,0.11111,0.03655,0.00983,3.2782,3.67972,1.78702,0.0018878,0.0018878,0.0018878
19,219.522,2.84561,3.84819,1.60932,0.08237,0.15556,0.02879,0.00908,3.11585,3.86007,1.75546,0.0018812,0.0018812,0.0018812
20,230.737,2.8151,3.68802,1.65195,0.09326,0.16296,0.03061,0.00936,3.2955,3.73953,1.77768,0.0018746,0.0018746,0.0018746
21,242.029,2.74826,4.06371,1.62692,0.07917,0.13333,0.02885,0.00978,3.32047,3.69787,1.72785,0.001868,0.001868,0.001868
22,253.222,2.88814,3.63474,1.70271,0.08779,0.0963,0.02765,0.00888,3.32835,3.68012,1.74328,0.0018614,0.0018614,0.0018614
23,264.475,2.77018,3.5408,1.58572,0.09794,0.14074,0.02878,0.00863,3.32452,3.63244,1.77817,0.0018548,0.0018548,0.0018548
24,275.804,2.78143,3.52785,1.57127,0.09178,0.12593,0.03546,0.0109,3.22114,3.5874,1.70456,0.0018482,0.0018482,0.0018482
25,287.012,2.72694,3.37761,1.56924,0.12493,0.11111,0.03792,0.0126,3.25394,3.60583,1.77908,0.0018416,0.0018416,0.0018416
26,298.332,2.82138,3.43145,1.65846,0.12585,0.14074,0.04105,0.01297,3.18797,3.64339,1.77461,0.001835,0.001835,0.001835
27,309.547,2.78526,3.48119,1.62145,0.08512,0.1037,0.03106,0.01109,3.20954,3.71241,1.72366,0.0018284,0.0018284,0.0018284
28,320.827,2.70161,3.42399,1.62002,0.11214,0.11852,0.02983,0.01088,3.2466,3.66123,1.76217,0.0018218,0.0018218,0.0018218
29,332.165,2.71841,3.31026,1.54562,0.1249,0.14815,0.03736,0.01221,3.18718,3.57937,1.71777,0.0018152,0.0018152,0.0018152
30,343.455,2.64051,3.22641,1.55313,0.12146,0.17037,0.05121,0.01757,3.22438,3.44601,1.7493,0.0018086,0.0018086,0.0018086
31,354.974,2.62979,3.28247,1.52771,0.12516,0.19288,0.06184,0.02363,3.27082,3.51271,1.74447,0.001802,0.001802,0.001802
32,366.389,2.64949,3.38907,1.55597,0.11402,0.19259,0.04878,0.01789,3.0941,3.59502,1.71595,0.0017954,0.0017954,0.0017954
33,377.723,2.60908,3.4458,1.51935,0.09521,0.2,0.04408,0.01455,3.11116,3.45935,1.72902,0.0017888,0.0017888,0.0017888
34,388.938,2.56654,3.33101,1.55726,0.09609,0.17778,0.03892,0.01288,3.19985,3.47009,1.77463,0.0017822,0.0017822,0.0017822
35,400.22,2.59905,3.41773,1.48583,0.10465,0.13333,0.03746,0.01343,3.14985,3.47611,1.71626,0.0017756,0.0017756,0.0017756
36,411.441,2.61598,3.10576,1.56779,0.12604,0.13333,0.0374,0.01101,3.09457,3.47047,1.69231,0.001769,0.001769,0.001769
37,422.705,2.57396,3.17352,1.40144,0.11834,0.11932,0.0443,0.01306,3.08807,3.52498,1.66042,0.0017624,0.0017624,0.0017624
38,434.039,2.55862,3.32219,1.51346,0.13383,0.15556,0.05774,0.01929,3.20847,3.38538,1.7307,0.0017558,0.0017558,0.0017558
39,445.36,2.54923,3.30959,1.49621,0.17433,0.17778,0.05943,0.01888,3.07698,3.33086,1.67693,0.0017492,0.0017492,0.0017492
40,456.683,2.56173,3.0544,1.44695,0.12541,0.19259,0.05499,0.01604,2.90609,3.35827,1.61103,0.0017426,0.0017426,0.0017426
41,467.894,2.45947,3.2485,1.4862,0.10305,0.15556,0.03467,0.01068,2.98952,3.38287,1.65533,0.001736,0.001736,0.001736
42,479.191,2.52288,3.17535,1.43964,0.0987,0.17037,0.03665,0.01167,3.02806,3.41671,1.66884,0.0017294,0.0017294,0.0017294
43,490.423,2.49305,3.16472,1.42999,0.09799,0.13197,0.04204,0.01326,3.07347,3.35415,1.70761,0.0017228,0.0017228,0.0017228
44,501.682,2.598,2.98957,1.54836,0.14847,0.2,0.05577,0.01666,3.05758,3.47818,1.67964,0.0017162,0.0017162,0.0017162
45,513.011,2.52847,3.06163,1.47418,0.13787,0.17037,0.05218,0.01757,3.00543,3.49915,1.70095,0.0017096,0.0017096,0.0017096
46,524.214,2.49356,2.96506,1.46329,0.12283,0.12034,0.04525,0.0163,3.0094,3.42258,1.65946,0.001703,0.001703,0.001703
47,535.53,2.55291,3.12731,1.5215,0.11449,0.11111,0.04601,0.01581,3.06538,3.40703,1.7103,0.0016964,0.0016964,0.0016964
48,546.846,2.46099,2.95385,1.4652,0.18796,0.16296,0.0541,0.01999,3.10787,3.41581,1.68671,0.0016898,0.0016898,0.0016898
49,558.194,2.42203,2.8761,1.50396,0.14702,0.18519,0.05551,0.0182,3.1154,3.37494,1.66726,0.0016832,0.0016832,0.0016832
50,569.416,2.5375,3.0666,1.46393,0.12752,0.15556,0.05369,0.01709,3.11447,3.42362,1.65658,0.0016766,0.0016766,0.0016766
51,580.685,2.41461,2.94278,1.45773,0.14717,0.14074,0.04866,0.01692,3.21208,3.67428,1.66934,0.00167,0.00167,0.00167
52,592.031,2.44275,2.89052,1.44886,0.13279,0.15556,0.05038,0.01824,3.14154,3.59105,1.6426,0.0016634,0.0016634,0.0016634
53,603.255,2.34954,2.7144,1.36288,0.11946,0.13333,0.05089,0.01518,3.11649,3.48901,1.6177,0.0016568,0.0016568,0.0016568
54,614.553,2.39386,2.69356,1.43882,0.13488,0.14074,0.05362,0.01778,3.10228,3.50434,1.65244,0.0016502,0.0016502,0.0016502
