epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8291,3.59698,107.952,2.14212,0.00057,0.01604,2e-05,0,3.32391,257.063,1.88028,0.000641975,0.000641975,0.000641975
2,30.3137,3.32163,27.6551,1.8978,0,0,0,0,3.63731,4230.52,2.0188,0.00130432,0.00130432,0.00130432
3,41.9728,3.28563,27.7988,1.95473,0.00024,0.00535,0,0,3.59764,99.5774,2.06415,0.00196227,0.00196227,0.00196227
4,53.5659,3.42497,18.6352,1.91818,0.00038,0.01604,1e-05,0,3.61755,8.21107,1.97926,0.0019802,0.0019802,0.0019802
5,65.2851,3.48124,15.8281,1.98826,0.0097,0.02674,0.00078,0.00018,3.45214,9.48181,2.04728,0.0019736,0.0019736,0.0019736
6,76.9103,3.49082,28.0785,1.94224,0,0,0,0,3.701,769.999,2.97468,0.001967,0.001967,0.001967
7,88.4293,3.50159,6.09958,2.01723,0.00051,0.02139,4e-05,1e-05,4.27622,8.1012,11.234,0.0019604,0.0019604,0.0019604
8,99.9523,3.30908,5.00843,1.9642,0.00029,0.0107,3e-05,1e-05,3.98106,5.43423,2.97927,0.0019538,0.0019538,0.0019538
9,111.455,3.15738,5.04678,1.77271,0.00605,0.14439,0.00313,0.0009,3.27992,5.1234,2.05439,0.0019472,0.0019472,0.0019472
10,123.144,3.18297,4.46538,1.80668,0.01458,0.14973,0.01039,0.00315,3.18328,4.57855,2.02385,0.0019406,0.0019406,0.0019406
11,134.733,3.05399,4.38767,1.73777,0.11349,0.01604,0.01594,0.00639,3.47846,4.57122,2.24696,0.001934,0.001934,0.001934
12,146.412,3.00974,3.85804,1.75243,0.06475,0.06952,0.01512,0.00357,3.2453,5.42944,1.94773,0.0019274,0.0019274,0.0019274
13,157.8,2.86774,4.07209,1.70087,0.06796,0.04278,0.01217,0.00287,3.35075,4.54968,2.08317,0.0019208,0.0019208,0.0019208
14,169.334,3.04802,4.06876,1.6377,0.04735,0.05882,0.01143,0.00301,3.32358,4.30135,1.86249,0.0019142,0.0019142,0.0019142
15,180.824,2.87392,4.5446,1.73178,0.0474,0.09626,0.01417,0.00317,3.0945,4.6219,1.7474,0.0019076,0.0019076,0.0019076
16,192.342,3.06815,3.99736,1.74619,0.02676,0.14973,0.00979,0.0028,3.07076,4.42349,1.68068,0.001901,0.001901,0.001901
17,203.747,2.94023,3.84339,1.68129,0.00599,0.24064,0.01232,0.00436,3.04544,3.96913,1.74121,0.0018944,0.0018944,0.0018944
18,215.178,2.90958,3.67541,1.66615,0.0693,0.08021,0.02056,0.00507,2.9967,3.86013,1.73585,0.0018878,0.0018878,0.0018878
19,226.683,2.88043,3.75245,1.741,0.07533,0.08021,0.01872,0.00504,3.04208,3.88017,1.72408,0.0018812,0.0018812,0.0018812
20,238.195,2.82536,3.8005,1.6635,0.10525,0.04278,0.01259,0.00439,3.07129,4.06523,1.67945,0.0018746,0.0018746,0.0018746
21,249.718,2.8951,3.90014,1.73898,0.0747,0.1016,0.01892,0.00649,2.90494,3.76749,1.64935,0.001868,0.001868,0.001868
22,261.349,2.76913,3.76358,1.63636,0.07442,0.10695,0.01797,0.00613,2.90639,3.94501,1.63355,0.0018614,0.0018614,0.0018614
23,272.865,2.74473,3.89643,1.62038,0.07514,0.09091,0.01972,0.007,2.93617,3.63575,1.62919,0.0018548,0.0018548,0.0018548
24,284.579,2.77411,3.68182,1.65081,0.07991,0.1016,0.02271,0.00717,3.13688,3.68347,1.67122,0.0018482,0.0018482,0.0018482
25,296.151,2.78141,3.58002,1.56548,0.06725,0.09091,0.02477,0.00826,3.01696,3.72931,1.64801,0.0018416,0.0018416,0.0018416
26,307.865,2.76676,3.75904,1.61962,0.0603,0.1123,0.02341,0.00684,3.06802,3.79395,1.64966,0.001835,0.001835,0.001835
27,319.27,2.72275,3.42718,1.59617,0.06808,0.1123,0.01872,0.00561,3.17973,3.74762,1.70772,0.0018284,0.0018284,0.0018284
28,330.815,2.75253,3.60356,1.66292,0.06462,0.08556,0.01983,0.00666,2.97833,3.49903,1.58779,0.0018218,0.0018218,0.0018218
29,342.315,2.68776,3.3924,1.58066,0.07292,0.09091,0.01937,0.00682,3.00658,3.62484,1.6035,0.0018152,0.0018152,0.0018152
30,353.845,2.83401,3.90789,1.59009,0.08715,0.09626,0.01871,0.00471,3.06614,3.77009,1.60464,0.0018086,0.0018086,0.0018086
31,365.267,2.77361,3.48307,1.63752,0.10483,0.08556,0.02424,0.00608,2.95414,4.13976,1.6918,0.001802,0.001802,0.001802
32,376.706,2.71368,3.51849,1.58025,0.0642,0.10695,0.02224,0.00647,2.90305,4.03839,1.67402,0.0017954,0.0017954,0.0017954
33,388.223,2.69446,3.39855,1.55162,0.07154,0.13904,0.01721,0.00569,2.99455,3.86294,1.61037,0.0017888,0.0017888,0.0017888
34,399.722,2.53275,3.25442,1.57529,0.0701,0.10695,0.01717,0.00559,2.99265,3.7722,1.61047,0.0017822,0.0017822,0.0017822
35,411.245,2.48633,3.46423,1.5438,0.06443,0.1123,0.01596,0.00557,3.05642,3.81564,1.64869,0.0017756,0.0017756,0.0017756
36,422.716,2.48692,3.45335,1.48292,0.08355,0.06952,0.02194,0.0066,3.07277,3.62104,1.65979,0.001769,0.001769,0.001769
