epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,493.395,1.09256,0.71052,0.90803,0.235,0.07407,0.03543,0.01108,3.32846,4.23179,1.76983,0.0017228,0.0017228,0.0017228
44,504.72,1.10941,0.75661,0.92528,0.25411,0.07407,0.04269,0.01219,3.26454,4.41517,1.71555,0.0017162,0.0017162,0.0017162
45,516.152,0.99156,0.65985,0.88985,0.27145,0.06667,0.0352,0.01046,3.28994,4.58331,1.74819,0.0017096,0.0017096,0.0017096
46,527.496,1.01248,0.70367,0.91232,0.27546,0.08148,0.03993,0.01011,3.31795,4.52998,1.76541,0.001703,0.001703,0.001703
47,538.968,0.96058,0.6309,0.90134,0.20071,0.07407,0.03925,0.01131,3.292,4.4369,1.74871,0.0016964,0.0016964,0.0016964
48,550.345,0.96342,0.62303,0.88402,0.27277,0.08148,0.03817,0.01118,3.24684,4.37405,1.73904,0.0016898,0.0016898,0.0016898
49,561.68,0.9285,0.60171,0.89742,0.20143,0.08148,0.03852,0.01204,3.33652,4.68472,1.85348,0.0016832,0.0016832,0.0016832
50,573.016,0.94608,0.59716,0.88235,0.17301,0.08889,0.04021,0.0105,3.38131,4.66694,1.83266,0.0016766,0.0016766,0.0016766
51,584.458,0.87757,0.55476,0.86027,0.24736,0.08148,0.03974,0.01106,3.45204,4.7601,1.8567,0.00167,0.00167,0.00167
52,595.798,0.82348,0.52274,0.86116,0.29677,0.05926,0.03253,0.00734,3.37413,4.83198,1.81349,0.0016634,0.0016634,0.0016634
53,607.123,0.82308,0.51138,0.836,0.22938,0.05926,0.02834,0.00679,3.35932,4.86148,1.7822,0.0016568,0.0016568,0.0016568
54,618.46,0.84548,0.52953,0.8631,0.20338,0.07407,0.03213,0.00723,3.31564,4.80816,1.78305,0.0016502,0.0016502,0.0016502
55,629.893,0.82972,0.52127,0.85056,0.1579,0.06667,0.03279,0.00681,3.33084,4.74268,1.78462,0.0016436,0.0016436,0.0016436
56,641.25,0.79606,0.48779,0.83707,0.13894,0.08148,0.03894,0.01251,3.30046,4.72346,1.77723,0.001637,0.001637,0.001637
57,652.707,0.7594,0.48043,0.84398,0.17589,0.06667,0.03302,0.01071,3.30242,4.98622,1.78848,0.0016304,0.0016304,0.0016304
58,664.045,0.75177,0.46259,0.83144,0.22271,0.07429,0.03628,0.00926,3.31027,5.09866,1.8049,0.0016238,0.0016238,0.0016238
59,675.397,0.73295,0.46495,0.82655,0.21411,0.05926,0.03302,0.01022,3.26525,5.19095,1.816,0.0016172,0.0016172,0.0016172
60,686.901,0.73002,0.45779,0.83813,0.15927,0.05185,0.0329,0.01019,3.282,5.27264,1.80093,0.0016106,0.0016106,0.0016106
